time_decimal_year,AC,AI2027-SC,SAR-level-experiment-selection-skill,SIAR-level-experiment-selection-skill
2055.763526,0.1130958992,0.1897963708,0.3099818398,0.4203859192
2055.846851,0.1119458283,0.1896055378,0.3090740581,0.4196445253
2055.930175,0.1107611069,0.1893799927,0.3079803855,0.4188917420
2056.013500,0.1095419254,0.1891136701,0.3066973431,0.4181206636
2056.096825,0.1082887449,0.1888005271,0.3052224421,0.4173243702
2056.180149,0.1070022873,0.1884345891,0.3035542093,0.4164960015
2056.263474,0.1056835229,0.1880100003,0.3016922092,0.4156288282
2056.346799,0.1043336581,0.1875210780,0.2996370612,0.4147163239
2056.430123,0.1029541208,0.1869623686,0.2973904513,0.4137522342
2056.513448,0.1015465454,0.1863287055,0.2949551384,0.4127306426
2056.596773,0.1001127574,0.1856152671,0.2923349535,0.4116460332
2056.680097,0.0986547563,0.1848176339,0.2895347921,0.4104933478
2056.763422,0.0971746992,0.1839318439,0.2865605998,0.4092680387
2056.846746,0.0956748836,0.1829544450,0.2834193491,0.4079661143
2056.930071,0.0941577300,0.1818825436,0.2801190081,0.4065841791
2057.013396,0.0926257644,0.1807138481,0.2766685020,0.4051194666
2057.096720,0.0910816014,0.1794467069,0.2730776642,0.4035698644
2057.180045,0.0895279268,0.1780801406,0.2693571811,0.4019339326
2057.263370,0.0879674812,0.1766138660,0.2655185266,0.4002109143
2057.346694,0.0864030434,0.1750483145,0.2615738904,0.3984007386
2057.430019,0.0848374147,0.1733846412,0.2575360973,0.3965040164
2057.513344,0.0832734035,0.1716247274,0.2534185205,0.3945220286
2057.596668,0.0817138108,0.1697711743,0.2492349881,0.3924567082
2057.679993,0.0801614158,0.1678272901,0.2449996843,0.3903106148
2057.763318,0.0786189631,0.1657970680,0.2407270461,0.3880869041
2057.846642,0.0770891499,0.1636851585,0.2364316561,0.3857892913
2057.929967,0.0755746139,0.1614968337,0.2321281333,0.3834220092
2058.013292,0.0740779226,0.1592379461,0.2278310226,0.3809897630
2058.096616,0.0726015633,0.1569148814,0.2235546841,0.3784976801
2058.179941,0.0711479328,0.1545345057,0.2193131836,0.3759512577
2058.263266,0.0697193298,0.1521041095,0.2151201861,0.3733563076
2058.346590,0.0683179463,0.1496313468,0.2109888523,0.3707188991
2058.429915,0.0669458606,0.1471241720,0.2069317409,0.3680453015
2058.513240,0.0656050315,0.1445907745,0.2029607164,0.3653419253
2058.596564,0.0642972921,0.1420395114,0.1990868646,0.3626152645
2058.679889,0.0630243453,0.1394788403,0.1953204159,0.3598718386
2058.763214,0.0617877596,0.1369172513,0.1916706781,0.3571181375
2058.846538,0.0605889658,0.1343632003,0.1881459786,0.3543605669
2058.929863,0.0594292540,0.1318250428,0.1847536171,0.3516053969
