time,L_HUMAN,inference_compute,experiment_compute,training_compute
2168.0,1050708.209,142269239579524,1.42269E+15,36.455649
2169.0,1050708.209,143950867393176,1.43951E+15,36.46080494
2170.0,1050708.209,145608953864879,1.45609E+15,36.46583045
2171.0,1050708.209,147243025513321,1.47243E+15,36.47072788
2172.0,1050708.209,148852639135843,1.48853E+15,36.47549955
2173.0,1050708.209,150437382010868,1.50437E+15,36.48014773
2174.0,1050708.209,151996872037879,1.51997E+15,36.48467468
2175.0,1050708.209,153530757815532,1.53531E+15,36.48908261
2176.0,1050708.209,155038718658711,1.55039E+15,36.4933737
2177.0,1050708.209,156520464555440,1.5652E+15,36.49755012
2178.0,1050708.209,157975736064794,1.57976E+15,36.50161399
2179.0,1050708.209,159404304157034,1.59404E+15,36.50556742
2180.0,1050708.209,160805969997395,1.60806E+15,36.50941249
2181.0,1050708.209,162180564675075,1.62181E+15,36.51315127
2182.0,1050708.209,163527948879082,1.63528E+15,36.51678577
2183.0,1050708.209,164848012522763,1.64848E+15,36.52031801
2184.0,1050708.209,166140674318922,1.66141E+15,36.52375
2185.0,1050708.209,167405881307542,1.67406E+15,36.52708369
2186.0,1050708.209,168643608338250,1.68644E+15,36.53032103
2187.0,1050708.209,169853857509716,1.69854E+15,36.53346396
2188.0,1050708.209,171036657568273,1.71037E+15,36.53651439
2189.0,1050708.209,172192063268125,1.72192E+15,36.53947421
2190.0,1050708.209,173320154695552,1.7332E+15,36.54234529
2191.0,1050708.209,174421036559575,1.74421E+15,36.54512949
2192.0,1050708.209,175494837451586,1.75495E+15,36.54782864
2193.0,1050708.209,176541709076488,1.76542E+15,36.55044458
2194.0,1050708.209,177561825457898,1.77562E+15,36.55297908
2195.0,1050708.209,178555382119983,1.78555E+15,36.55543395
2196.0,1050708.209,179522595248508,1.79523E+15,36.55781095
2197.0,1050708.209,180463700833663,1.80464E+15,36.56011182
2198.0,1050708.209,181378953797225,1.81379E+15,36.56233829
2199.0,1050708.209,182268627106590,1.82269E+15,36.56449208
2200.0,1050708.209,183133010878177,1.83133E+15,36.56657487
