time_decimal_year,AC,AI2027-SC,SAR-level-experiment-selection-skill,SIAR-level-experiment-selection-skill
2052.514016,0.4575628576,0.5595622089,0.7253342331,0.8946763389
2052.597341,0.4543736765,0.5560446113,0.7211747138,0.8902584981
2052.680666,0.4512182184,0.5525601286,0.7170450967,0.8858786089
2052.763991,0.4480960719,0.5491083370,0.7129449880,0.8815362247
2052.847317,0.4450068327,0.5456888184,0.7088740025,0.8772309041
2052.930642,0.4419501036,0.5423011607,0.7048317639,0.8729622108
2053.013967,0.4389254944,0.5389449576,0.7008179043,0.8687297138
2053.097292,0.4359326223,0.5356198088,0.6968320644,0.8645329869
2053.180617,0.4329711111,0.5323253194,0.6928738928,0.8603716093
2053.263942,0.4300405914,0.5290611004,0.6889430466,0.8562451647
2053.347267,0.4271407009,0.5258267681,0.6850391909,0.8521532421
2053.430592,0.4242710836,0.5226219448,0.6811619985,0.8480954352
2053.513918,0.4214313904,0.5194462577,0.6773111499,0.8440713425
2053.597243,0.4186212785,0.5162993397,0.6734863335,0.8400805674
2053.680568,0.4158404116,0.5131808290,0.6696872450,0.8361227180
2053.763893,0.4130884598,0.5100903690,0.6659135873,0.8321974068
2053.847218,0.4103650991,0.5070276083,0.6621650708,0.8283042513
2053.930543,0.4076700119,0.5039922007,0.6584414127,0.8244428735
2054.013868,0.4050028864,0.5009838050,0.6547423375,0.8206128997
2054.097194,0.4023634169,0.4980020851,0.6510675763,0.8168139610
2054.180519,0.3997513032,0.4950467097,0.6474168668,0.8130456928
2054.263844,0.3971662510,0.4921173525,0.6437899534,0.8093077348
2054.347169,0.3946079715,0.4892136920,0.6401865871,0.8055997313
2054.430494,0.3920761812,0.4863354114,0.6366065247,0.8019213307
2054.513819,0.3895706020,0.4834821987,0.6330495298,0.7982721858
2054.597144,0.3870909612,0.4806537464,0.6295153716,0.7946519535
2054.680469,0.3846369908,0.4778497517,0.6260038254,0.7910602950
2054.763795,0.3822084280,0.4750699163,0.6225146722,0.7874968756
2054.847120,0.3798050148,0.4723139463,0.6190476989,0.7839613647
2054.930445,0.3774264980,0.4695815522,0.6156026977,0.7804534357
2055.013770,0.3750726288,0.4668724488,0.6121794664,0.7769727662
2055.097095,0.3727431630,0.4641863554,0.6087778080,0.7735190374
2055.180420,0.3704378608,0.4615229952,0.6053975306,0.7700919349
2055.263745,0.3681564864,0.4588820957,0.6020384476,0.7666911478
2055.347070,0.3658988085,0.4562633886,0.5987003772,0.7633163692
2055.430396,0.3636645994,0.4536666094,0.5953831425,0.7599672962
2055.513721,0.3614536354,0.4510914978,0.5920865711,0.7566436293
2055.597046,0.3592656966,0.4485377972,0.5888104955,0.7533450729
2055.680371,0.3571005667,0.4460052552,0.5855547524,0.7500713352
2055.763696,0.3549580326,0.4434936228,0.5823191830,0.7468221279
2055.847021,0.3528378851,0.4410026551,0.5791036328,0.7435971665
2055.930346,0.3507399178,0.4385321106,0.5759079512,0.7403961698
2056.013671,0.3486639277,0.4360817517,0.5727319919,0.7372188603
2056.096997,0.3466097147,0.4336513443,0.5695756124,0.7340649640
2056.180322,0.3445770816,0.4312406576,0.5664386738,0.7309342104
2056.263647,0.3425658340,0.4288494646,0.5633210413,0.7278263324
2056.346972,0.3405757803,0.4264775415,0.5602225833,0.7247410661
2056.430297,0.3386067312,0.4241246680,0.5571431719,0.7216781513
2056.513622,0.3366585001,0.4217906270,0.5540826826,0.7186373308
2056.596947,0.3347309026,0.4194752047,0.5510409940,0.7156183509
2056.680272,0.3328237567,0.4171781905,0.5480179880,0.7126209609
2056.763598,0.3309368822,0.4148993770,0.5450135496,0.7096449137
2056.846923,0.3290701013,0.4126385597,0.5420275667,0.7066899650
2056.930248,0.3272232379,0.4103955373,0.5390599300,0.7037558737
2057.013573,0.3253961179,0.4081701116,0.5361105332,0.7008424021
2057.096898,0.3235885688,0.4059620872,0.5331792724,0.6979493151
2057.180223,0.3218004197,0.4037712716,0.5302660466,0.6950763811
2057.263548,0.3200315013,0.4015974751,0.5273707571,0.6922233711
2057.346873,0.3182816459,0.3994405109,0.5244933076,0.6893900593
2057.430199,0.3165506871,0.3973001950,0.5216336042,0.6865762229
2057.513524,0.3148384595,0.3951763458,0.5187915552,0.6837816418
2057.596849,0.3131447994,0.3930687848,0.5159670710,0.6810060988
2057.680174,0.3114695438,0.3909773357,0.5131600641,0.6782493797
2057.763499,0.3098125309,0.3889018250,0.5103704490,0.6755112729
2057.846824,0.3081735999,0.3868420817,0.5075981420,0.6727915697
2057.930149,0.3065525910,0.3847979371,0.5048430613,0.6700900640
2058.013474,0.3049493450,0.3827692251,0.5021051268,0.6674065527
2058.096800,0.3033637035,0.3807557819,0.4993842601,0.6647408350
2058.180125,0.3017955089,0.3787574461,0.4966803842,0.6620927130
2058.263450,0.3002446042,0.3767740586,0.4939934238,0.6594619914
2058.346775,0.2987108331,0.3748054625,0.4913233049,0.6568484772
2058.430100,0.2971940395,0.3728515031,0.4886699549,0.6542519804
2058.513425,0.2956940680,0.3709120279,0.4860333025,0.6516723131
2058.596750,0.2942107636,0.3689868866,0.4834132777,0.6491092902
2058.680075,0.2927439716,0.3670759310,0.4808098113,0.6465627289
2058.763401,0.2912935376,0.3651790148,0.4782228356,0.6440324488
2058.846726,0.2898593076,0.3632959939,0.4756522837,0.6415182720
2058.930051,0.2884411278,0.3614267260,0.4730980897,0.6390200230
2059.013376,0.2870388443,0.3595710710,0.4705601885,0.6365375285
2059.096701,0.2856523039,0.3577288906,0.4680385159,0.6340706176
2059.180026,0.2842813530,0.3559000482,0.4655330086,0.6316191217
2059.263351,0.2829258384,0.3540844092,0.4630436037,0.6291828744
2059.346677,0.2815856068,0.3522818409,0.4605702393,0.6267617115
2059.430002,0.2802605052,0.3504922123,0.4581128538,0.6243554712
2059.513327,0.2789503803,0.3487153940,0.4556713863,0.6219639937
2059.596652,0.2776550789,0.3469512585,0.4532457765,0.6195871213
2059.679977,0.2763744479,0.3451996800,0.4508359644,0.6172246985
